      0.00000000e+00       5.02842855e-02       5.62500000e-02      -5.96571446e-03      -1.00000000e+00      -2.00000000e+00
      1.00000000e-02       5.02842855e-02       5.62507291e-02      -5.96644354e-03      -1.00000000e+00      -1.99992500e+00
      2.00000000e-02       5.02842855e-02       5.62514583e-02      -5.96717275e-03      -1.00000000e+00      -1.99985000e+00
      3.00000000e-02       5.02842855e-02       5.62521876e-02      -5.96790210e-03      -1.00000000e+00      -1.99977500e+00
      4.00000000e-02       5.02842855e-02       5.62529171e-02      -5.96863157e-03      -1.00000000e+00      -1.99970000e+00
      5.00000000e-02       5.02842855e-02       5.62536467e-02      -5.96936117e-03      -1.00000000e+00      -1.99962499e+00
      6.00000000e-02       5.02842855e-02       5.62543764e-02      -5.97009091e-03      -1.00000000e+00      -1.99954999e+00
      7.00000000e-02       5.02842855e-02       5.62551063e-02      -5.97082077e-03      -1.00000000e+00      -1.99947499e+00
      8.00000000e-02       5.02842855e-02       5.62558363e-02      -5.97155077e-03      -1.00000000e+00      -1.99939998e+00
      9.00000000e-02       5.02842855e-02       5.62565664e-02      -5.97228089e-03      -1.00000000e+00      -1.99932498e+00
      1.00000000e-01       5.02842855e-02       5.62572967e-02      -5.97301115e-03      -1.00000000e+00      -1.99924998e+00
      1.10000000e-01       5.02842855e-02       5.62580271e-02      -5.97374154e-03      -1.00000000e+00      -1.99917497e+00
      1.20000000e-01       5.02842855e-02       5.62587576e-02      -5.97447206e-03      -1.00000000e+00      -1.99909996e+00
      1.30000000e-01       5.02842855e-02       5.62594882e-02      -5.97520270e-03      -1.00000000e+00      -1.99902496e+00
      1.40000000e-01       5.02842855e-02       5.62602190e-02      -5.97593348e-03      -1.00000000e+00      -1.99894995e+00
      1.50000000e-01       5.02842855e-02       5.62609499e-02      -5.97666440e-03      -1.00000000e+00      -1.99887495e+00
      1.60000000e-01       5.02842855e-02       5.62616810e-02      -5.97739544e-03      -1.00000000e+00      -1.99879994e+00
      1.70000000e-01       5.02842855e-02       5.62624122e-02      -5.97812661e-03      -1.00000000e+00      -1.99872493e+00
      1.80000000e-01       5.02842855e-02       5.62631435e-02      -5.97885792e-03      -1.00000000e+00      -1.99864992e+00
      1.90000000e-01       5.02842855e-02       5.62638749e-02      -5.97958935e-03      -1.00000000e+00      -1.99857491e+00
      2.00000000e-01       5.02842855e-02       5.62646065e-02      -5.98032092e-03      -1.00000000e+00      -1.99849990e+00
      2.10000000e-01       5.02842855e-02       5.62653382e-02      -5.98105261e-03      -1.00000000e+00      -1.99842489e+00
      2.20000000e-01       5.02842855e-02       5.62660700e-02      -5.98178444e-03      -1.00000000e+00      -1.99834988e+00
      2.30000000e-01       5.02842855e-02       5.62668019e-02      -5.98251640e-03      -1.00000000e+00      -1.99827487e+00
      2.40000000e-01       5.02842855e-02       5.62675340e-02      -5.98324849e-03      -1.00000000e+00      -1.99819986e+00
      2.50000000e-01       5.02842855e-02       5.62682663e-02      -5.98398071e-03      -1.00000000e+00      -1.99812485e+00
      2.60000000e-01       5.02842855e-02       5.62689986e-02      -5.98471307e-03      -1.00000000e+00      -1.99804984e+00
      2.70000000e-01       5.02842855e-02       5.62697311e-02      -5.98544555e-03      -1.00000000e+00      -1.99797482e+00
      2.80000000e-01       5.02842855e-02       5.62704637e-02      -5.98617816e-03      -1.00000000e+00      -1.99789981e+00
      2.90000000e-01       5.02842855e-02       5.62711965e-02      -5.98691091e-03      -1.00000000e+00      -1.99782480e+00
      3.00000000e-01       5.02842855e-02       5.62719293e-02      -5.98764379e-03      -1.00000000e+00      -1.99774978e+00
      3.10000000e-01       5.02842855e-02       5.62726623e-02      -5.98837680e-03      -1.00000000e+00      -1.99767477e+00
      3.20000000e-01       5.02842855e-02       5.62733955e-02      -5.98910994e-03      -1.00000000e+00      -1.99759975e+00
      3.30000000e-01       5.02842855e-02       5.62741288e-02      -5.98984321e-03      -1.00000000e+00      -1.99752473e+00
      3.40000000e-01       5.02842855e-02       5.62748622e-02      -5.99057661e-03      -1.00000000e+00      -1.99744972e+00
      3.50000000e-01       5.02842855e-02       5.62755957e-02      -5.99131015e-03      -1.00000000e+00      -1.99737470e+00
      3.60000000e-01       5.02842855e-02       5.62763294e-02      -5.99204382e-03      -1.00000000e+00      -1.99729968e+00
      3.70000000e-01       5.02842855e-02       5.62770632e-02      -5.99277761e-03      -1.00000000e+00      -1.99722467e+00
      3.80000000e-01       5.02842855e-02       5.62777971e-02      -5.99351154e-03      -1.00000000e+00      -1.99714965e+00
      3.90000000e-01       5.02842855e-02       5.62785311e-02      -5.99424560e-03      -1.00000000e+00      -1.99707463e+00
      4.00000000e-01       5.02842855e-02       5.62792653e-02      -5.99497980e-03      -1.00000000e+00      -1.99699961e+00
      4.10000000e-01       5.02842855e-02       5.62799997e-02      -5.99571412e-03      -1.00000000e+00      -1.99692459e+00
      4.20000000e-01       5.02842855e-02       5.62807341e-02      -5.99644858e-03      -1.00000000e+00      -1.99684957e+00
      4.30000000e-01       5.02842855e-02       5.62814687e-02      -5.99718316e-03      -1.00000000e+00      -1.99677455e+00
      4.40000000e-01       5.02842855e-02       5.62822034e-02      -5.99791788e-03      -1.00000000e+00      -1.99669953e+00
      4.50000000e-01       5.02842855e-02       5.62829383e-02      -5.99865273e-03      -1.00000000e+00      -1.99662451e+00
      4.60000000e-01       5.02842855e-02       5.62836733e-02      -5.99938772e-03      -1.00000000e+00      -1.99654948e+00
      4.70000000e-01       5.02842855e-02       5.62844084e-02      -6.00012283e-03      -1.00000000e+00      -1.99647446e+00
